step,reward,confidence_level,fatigue_level,current_mode
1,1.0,0.005,0.01,exploration
2,1.0,0.005,0.02,exploration
3,1.0,0.005,0.03,exploration
4,1.0,0.005,0.04,exploration
5,1.0,0.005,0.05,exploration
6,1.0,0.005,0.060000000000000005,exploration
7,1.0,0.005,0.07,exploration
8,1.0,0.005,0.08,exploration
9,1.0,0.005,0.09,exploration
10,1.0,0.005,0.09999999999999999,exploration
11,1.0,0.005,0.10999999999999999,exploration
12,1.0,0.005,0.11999999999999998,exploration
13,1.0,0.005,0.12999999999999998,exploration
14,1.0,0.005,0.13999999999999999,exploration
15,1.0,0.005,0.15,exploration
16,1.0,0.005,0.16,exploration
17,1.0,0.005,0.17,exploration
18,1.0,0.005,0.18000000000000002,exploration
19,1.0,0.005,0.19000000000000003,exploration
20,1.0,0.005,0.20000000000000004,exploration
21,1.0,0.005,0.21000000000000005,exploration
22,1.0,0.005,0.22000000000000006,exploration
23,1.0,0.005,0.23000000000000007,exploration
24,1.0,0.005,0.24000000000000007,exploration
25,1.0,0.005,0.25000000000000006,exploration
26,1.0,0.005,0.26000000000000006,exploration
27,1.0,0.005,0.2700000000000001,exploration
28,1.0,0.005,0.2800000000000001,exploration
29,1.0,0.005,0.2900000000000001,exploration
30,1.0,0.005,0.3000000000000001,exploration
31,1.0,0.005,0.3100000000000001,exploration
32,1.0,0.005,0.3200000000000001,exploration
33,1.0,0.005,0.3300000000000001,exploration
34,1.0,0.005,0.34000000000000014,exploration
35,1.0,0.005,0.35000000000000014,exploration
36,1.0,0.005,0.36000000000000015,exploration
37,1.0,0.005,0.37000000000000016,exploration
38,1.0,0.005,0.38000000000000017,exploration
39,1.0,0.005,0.3900000000000002,exploration
40,1.0,0.005,0.4000000000000002,exploration
41,1.0,0.005,0.4100000000000002,exploration
42,1.0,0.005,0.4200000000000002,exploration
43,1.0,0.005,0.4300000000000002,exploration
44,1.0,0.005,0.4400000000000002,exploration
45,1.0,0.005,0.45000000000000023,exploration
46,1.0,0.005,0.46000000000000024,exploration
47,1.0,0.005,0.47000000000000025,exploration
48,1.0,0.005,0.48000000000000026,exploration
49,1.0,0.005,0.49000000000000027,exploration
50,1.0,0.005,0.5000000000000002,exploration
51,1.0,0.005,0.5100000000000002,exploration
52,1.0,0.005,0.5200000000000002,exploration
53,1.0,0.005,0.5300000000000002,exploration
54,1.0,0.005,0.5400000000000003,exploration
55,1.0,0.005,0.5500000000000003,exploration
56,1.0,0.005,0.5600000000000003,exploration
57,1.0,0.005,0.5700000000000003,exploration
58,1.0,0.005,0.5800000000000003,exploration
59,1.0,0.005,0.5900000000000003,exploration
60,1.0,0.005,0.6000000000000003,exploration
61,1.0,0.005,0.6100000000000003,exploration
62,1.0,0.005,0.6200000000000003,exploration
63,1.0,0.005,0.6300000000000003,exploration
64,1.0,0.005,0.6400000000000003,exploration
65,1.0,0.005,0.6500000000000004,exploration
66,1.0,0.005,0.6600000000000004,exploration
67,1.0,0.005,0.6700000000000004,exploration
68,1.0,0.005,0.6800000000000004,exploration
69,1.0,0.005,0.6900000000000004,exploration
70,1.0,0.005,0.7000000000000004,exploration
71,1.0,0.005,0.7100000000000004,exploration
72,1.0,0.005,0.7200000000000004,exploration
73,1.0,0.005,0.7300000000000004,exploration
74,1.0,0.005,0.7400000000000004,exploration
75,1.0,0.005,0.7500000000000004,exploration
76,1.0,0.005,0.7600000000000005,exploration
77,1.0,0.005,0.7700000000000005,exploration
78,1.0,0.005,0.7800000000000005,exploration
79,1.0,0.005,0.7900000000000005,exploration
80,1.0,0.005,0.8000000000000005,exploration
81,1.0,0.005,0.8100000000000005,exploration
82,1.0,0.005,0.8200000000000005,exploration
83,1.0,0.005,0.8300000000000005,exploration
84,1.0,0.005,0.8400000000000005,exploration
85,1.0,0.005,0.8500000000000005,exploration
86,1.0,0.005,0.8600000000000005,exploration
87,1.0,0.005,0.8700000000000006,exploration
88,1.0,0.005,0.8800000000000006,exploration
89,1.0,0.005,0.8900000000000006,exploration
90,1.0,0.005,0.9000000000000006,exploration
91,1.0,0.005,0.9100000000000006,exploration
92,1.0,0.005,0.9200000000000006,exploration
93,1.0,0.005,0.9300000000000006,exploration
94,1.0,0.005,0.9400000000000006,exploration
95,1.0,0.005,0.9500000000000006,exploration
96,1.0,0.005,0.9600000000000006,exploration
97,1.0,0.005,0.9700000000000006,exploration
98,1.0,0.005,0.9800000000000006,exploration
99,1.0,0.005,0.9900000000000007,exploration
100,1.0,0.005,1.0,exploration
101,1.0,0.005,1.0,exploration
102,1.0,0.005,1.0,exploration
103,1.0,0.005,1.0,exploration
104,1.0,0.005,1.0,exploration
